ds,yhat,yhat_lower,yhat_upper
2024-09-29 19:13:00,13.091110851810026,-97.01065305120147,124.62491318781504
2024-09-29 19:14:00,12.934288907636887,-98.95068398543033,120.75121746322449
2024-09-29 19:15:00,12.788057245730766,-90.90130673802649,112.37090710209341
2024-09-29 19:16:00,12.652277502432245,-95.76036781734935,118.81968051701377
2024-09-29 19:17:00,12.526810643509133,-87.56844090052503,120.28295982336671
2024-09-29 19:18:00,12.411516953159374,-88.18481701656704,114.59024518787803
2024-09-29 19:19:00,12.306256058968689,-94.60147896817632,125.44954632174702
2024-09-29 19:20:00,12.210886992906719,-87.74851917696549,124.43730346471057
2024-09-29 19:21:00,12.12526816365347,-94.72665794476096,125.63098135967645
2024-09-29 19:22:00,12.049257407863294,-98.23665814276629,120.38506316420403
